Company Name,Number,URL,Description,Industry,Sales Line,Key Resonating Themes,Matched Partner Name,Matched Partner Description,Avg Leads Per Day,Rank,Match Score,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes
Fehr Holding GmbH,+49561511010,https://fehr.de,,Waste Disposal,,LLM Partner Matching Failed or No Match Found,,,,,,True,True,Appears Large / >=500 potential,Waste disposal; Related services,"Responsible conduct towards employees, customers, and partners; Strategic realignment to adapt to market conditions and legal requirements",Municipalities; Businesses,Service-oriented; Waste disposal services,Large Enterprise,"Strategic realignment to adapt to current market conditions and legal requirements, marked by the ""FEHR 2020"" program.",The business model is clear. Target group is implied to be businesses and municipalities.
SMA Solar Technology AG,+4956195220,https://sma.de,"SMA Solar Technology AG is a German company that specializes in solutions for solar power generation, storage, and management. They offer a range of products including solar inverters, hybrid inverters, battery inverters, system solutions, battery storage systems, charging solutions, wall boxes, and energy management systems. SMA serves various customer segments including residential, commercial, and large-scale power plants, providing solutions for optimizing energy costs, increasing energy independence, and promoting sustainability. Their offerings include services such as planning, installation, and maintenance support for PV systems, as well as training programs through the SMA Solar Academy. SMA emphasizes technological innovation, cybersecurity, and sustainability in its operations, aiming to enable people and companies worldwide to achieve greater independence in energy supply and drive the energy transition forward. They provide solutions for grid forming, hydrogen applications and secure and stable grids. SMA also offers digital products, apps, and online services to support their hardware solutions. The company's products are designed to integrate seamlessly into other systems and meet high quality standards.",Solar Technology,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung für Instandhaltung und Anlagenmanagement, das sich an Industrieunternehmen mit komplexen technischen Anlagen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Beide Unternehmen bieten Lösungen für die Digitalisierung und das Management komplexer Systeme.; SMA bietet Lösungen für die Energieerzeugung, während RODIAS sich auf die Instandhaltung und das Asset Management konzentriert, was eine potenzielle Synergie darstellt.; Gemeinsames Interesse an technologischen Innovationen und der Optimierung von Prozessen.",RODIAS GmbH,"Industry: IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management); Services/Products: Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.; Target Audience: Industrial companies with complex technical plants requiring maintenance and asset management solutions.; Business Model: IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).; Company Size: SME (General) / Medium; Innovation Level: Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.",8.0,19,,True,True,Appears Large / >=500 potential,"Solar inverters; Hybrid inverters; Battery inverters; System solutions; Battery storage systems; Charging solutions; Wall boxes; Energy management systems; Planning, installation, and maintenance support for PV systems; Training programs through the SMA Solar Academy; Digital products, apps, and online services","Solutions for optimizing energy costs; Increasing energy independence; Promoting sustainability; Technological innovation; Cybersecurity; High quality standards; Solutions for grid forming, hydrogen applications and secure and stable grids",Residential; Commercial; Large-scale power plants,"Solutions for solar power generation, storage, and management",Unknown/Not Specified,"SMA emphasizes technological innovation, cybersecurity, and sustainability in its operations",The business model and offerings are clearly articulated. Target audience is broad.
WAGO,+495718870,https://wago.com,"WAGO is a company that provides a range of products and solutions for electrical interconnection, automation, and interface electronics. Their offerings include PCB terminal blocks, controllers, splicing connectors, inline splicing connectors, and various software applications. They target electrical professionals and industries requiring automation and electrical connectivity solutions. WAGO's products are designed for applications such as wallboxes, photovoltaic systems, building automation, and machinery. The company emphasizes innovation and sustainability, as evidenced by their development of splicing connectors made from bio-circular and recycled plastics. They also offer solutions for dynamic and static load management for EV charging infrastructure, building automation systems, and predictive analytics for maintenance. WAGO highlights features such as tool-free connection technology (PUSH WIRE® and Push-in CAGE CLAMP®), compact designs, and solutions for high voltages and harsh environments. They also provide engineering software and apps to support their hardware offerings. WAGO is expanding its modular building automation system, consisting of engineering software, application solutions and automation hardware, to include a full-scale management and control unit and integrating it into the new WAGO Building Ecosystem. The company's stated goal is to provide efficient solutions for every project, helping customers stay one step ahead with innovative products and technologies.","Electrical Interconnection, Automation, and Interface Electronics","Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine innovative App für die digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Ähnliche technologische Ausrichtung: Softwarelösungen für technische Anwendungen.; Überschneidung im Bereich der Industrie: Lösungen für Bauingenieurwesen und verwandte Bereiche, die Automatisierung und elektrische Verbindungen benötigen.; Gemeinsames Interesse an Digitalisierung und Automatisierung von Prozessen.",SitePlan GmbH,"Industry: Software for Civil Engineering / Construction Tech; Services/Products: An innovative app for digital surveying and navigation in civil engineering; Transforms digital construction plans into GPS-supported maps; GPS navigation in construction plans; Georeferenced photo documentation; Precise surveying with GNSS technology; Real-time collaboration.; Target Audience: Construction companies (specifically in civil engineering / underground construction).; Business Model: App-based software solution / Product-driven.; Company Size: Unknown/Not Specified; Innovation Level: Innovative app; Digital surveying and navigation solution; GPS-supported maps; GNSS technology; Real-time collaboration; Focus on digitalization and automation in civil engineering; ""Revolutionizes your way of working.""",5.0,11,,True,True,Appears Large / >=500 potential,PCB terminal blocks; Controllers; Splicing connectors; Inline splicing connectors; Engineering software and apps,Tool-free connection technology (PUSH WIRE® and Push-in CAGE CLAMP®); Compact designs; Solutions for high voltages and harsh environments; Splicing connectors made from bio-circular and recycled plastics,Electrical professionals; Industries requiring automation and electrical connectivity solutions,Product-based with software and service offerings,Unknown/Not Specified,"The company emphasizes innovation and sustainability, as evidenced by their development of splicing connectors made from bio-circular and recycled plastics.",The business model and target audience are reasonably clear from the summary.
,+495734969280,https://edle-bauelemente.de,"Edle-Bauelemente.de is an online Bauportal (building portal) focused on providing information and resources for individuals looking to create a stylish and healthy home. It offers a range of information, product recommendations, and directories of manufacturers, retailers, tradespeople, and architects related to building and home improvement. The portal covers various themes including building materials, building envelopes, interior design, furniture, bathrooms, building technology, sun protection, gardens, and tools. It also features a magazine with articles on home construction, renovation, building regulations, historical building elements, furniture, and design trends. The portal aims to be a companion for building projects, offering product recommendations and provider directories to help users realize their housing dreams. It also provides a literature directory with books on building and living, as well as guides and instructions on various building elements and renovation topics. The site encourages community interaction through a contact form for questions, suggestions, and collaboration ideas.",Home Improvement,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Holzgroßhandel, das Produkte für Bauen und Wohnen mit Holz anbietet und sich an Handwerker, Industrie und Handel richtet. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Gemeinsame Branche: Bauwesen / Heimwerken; Ähnliche Produkte/Services: Informationen und Ressourcen für Bauen und Wohnen mit Holz; Produkte für den Terrassen- und Gartenbereich,Carl Götz GmbH,"Industry: Wood Wholesale; Building Materials; Services/Products: Products for building and living with wood, including: Panels; Timber construction; Sawn timber and scantlings; Flooring, wall and ceiling; Doors; Terrace and garden; Accessories.; Target Audience: B2B customers from: Trade (retail/wholesale); Industry; Crafts (e.g., carpenters, joiners).; Business Model: Wholesale; Product-driven.; Company Size: Medium; Innovation Level: Not found. (The text emphasizes tradition, product range, and social responsibility rather than technological innovation.)",10.0,17,,,,Appears Large / >=500 potential,"Information and resources for building and home improvement; Product recommendations; Directories of manufacturers, retailers, tradespeople, and architects; Magazine with articles on home construction and renovation",Focus on stylish and healthy homes; Comprehensive information and resources; Directories of relevant professionals,Individuals looking to create a stylish and healthy home,Online portal providing information and resources,Unknown/Not Specified,,The business model and target audience are clearly articulated in the summary.
G. Büter Bauunternehmen GmbH,+49594493930,https://bueter-bau.de,"G. Büter Bauunternehmen GmbH is a German construction company with over 90 years of experience, employing over 100 people. The company focuses on realizing demanding construction projects with a commitment to innovation, quality, sustainability, reliability, and trust. Their services include project development, turnkey construction, shell construction (Rohbau), and special projects. They also offer real estate opportunities. The company emphasizes its innovative approach and capabilities in construction, as reflected in their motto ""büter – so wird gebaut!"" (büter – that's how it's built!). The company has a ProjectkulturZENTRUM in Nordhorn. They are actively recruiting new employees in planning, construction, and technical roles. The company will be closed for company holidays from December 23, 2024, to January 3, 2025.",Construction,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich KI-gestützte Automatisierungssoftware für Bauunternehmen, das sich ebenfalls an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Gemeinsame Zielgruppe: Bauunternehmen.; Ähnliche Ausrichtung: Softwarelösungen für die Baubranche.; Fokus auf Automatisierung und Digitalisierung von Prozessen im Baugewerbe.,reebuild,"Industry: AI-powered automation and digitization software for commercial processes in the construction industry.; Services/Products: AI-supported software solution for construction companies; Automated document processing (invoices, delivery notes, construction contracts are captured by AI, structured, and integrated into accounting programs); Real-time cost management (centralized financial transaction recording for transparent budgeting); Integration with existing accounting software and construction cost tracking systems.; Target Audience: Construction companies (specifically targeting site managers and back-office employees within these companies).; Business Model: SaaS (Software as a Service); Product-driven (offering a specialized software solution).; Company Size: …; Innovation Level: AI-supported automation; Digitization; AI-powered document processing; KI-unterstützte Lösung (AI-supported solution).",6.0,15,,True,True,Appears Medium,Project development; Turnkey construction; Shell construction (Rohbau); Special projects; Real estate opportunities,"Over 90 years of experience; Commitment to innovation, quality, sustainability, reliability, and trust",,Construction and real estate services,SME,Company emphasizes its innovative approach and capabilities in construction.,The business model is clear. The target group is not explicitly stated but can be inferred as those needing construction and real estate services.
Eticor,+49602226560,https://eticor.com,"Eticor is a company that provides compliance solutions, including software and services, to help organizations establish and maintain digital compliance structures. Their offerings include Compliance Management Software and a Whistleblowing Channel. They focus on areas such as ESG compliance, legal compliance, organizational compliance, ISO compliance, and internal compliance. Eticor's software offers features like a customizable legal register, flexible modules, and clearly defined tasks to ensure legal certainty and transparency across locations and internationally. They also offer services to assist in building and developing digital compliance organizations, focusing on clear responsibilities, efficient processes, and audit-proof documentation. Eticor provides a compliance blog with updates on relevant topics. Their clients include companies of various sizes across different industries. Eticor emphasizes a combination of modular compliance management software and personal support from legal experts and a global partner network. They aim to translate complex compliance requirements into easily understandable tasks and create transparent structures with clear responsibilities to minimize organizational misconduct risks. They offer whitepapers on topics like CSDDD, ESG and digitalization, and international compliance.",Compliance Solutions,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich eSignatur-Software, das sich an KMUs und DATEV-Nutzer richtet, um rechtssichere digitale Prozesse zu gewährleisten. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Ähnliche Ausrichtung auf digitale Lösungen und Automatisierung von Prozessen.; Fokus auf KMUs als Zielgruppe.; Überschneidung im Bereich der rechtssicheren digitalen Prozesse (eIDAS, GDPR).",tegoly,"Industry: Software (eSignature solutions); SaaS (Software-as-a-Service); Solutions for DATEV users (e.g., tax consultants, auditors).; Services/Products: tegolySIGN (an eSignature solution) with features including: DATEV integration (signing documents directly from DATEV or Teams across all three security levels); MultiSign (sending multiple documents for signature simultaneously); Signature folder (collecting documents to sign later collectively); Form filling (allowing clients to edit forms before signing); Templates (for frequently used documents); Custom CI (adapting signature processes to corporate design).; Target Audience: SMEs (Small and Medium-sized Enterprises); Companies using DATEV (e.g., tax consultants, auditors, law firms engaging in client communication).; Business Model: SaaS (Software-as-a-Service) for their eSignature solution; Offering simple and cost-effective digital solutions.; Company Size: Startup / Micro; Innovation Level: ""Innovative eSignature solution""; ""Digital solutions""; Focus on ""efficiency increase""; Eliminates media breaks (digitization); Modern security technology (ISO 27001, 256-bit encryption); Legally compliant signatures (eIDAS, GDPR).",8.0,12,,True,True,Appears Large / >=500 potential,Compliance Management Software; Whistleblowing Channel; Services to build and develop digital compliance organizations,Modular compliance management software; Personal support from legal experts; Global partner network; Translates complex compliance requirements into understandable tasks,Companies of various sizes; Companies across different industries,Software and services for digital compliance,Unknown/Not Specified,They aim to translate complex compliance requirements into easily understandable tasks and create transparent structures with clear responsibilities to minimize organizational misconduct risks.,The business model and offerings are reasonably clear. Target audience is broad.
Körber AG,+4960329912000,https://koerber-supplychain.com,"Körber Supply Chain Solutions is a global technology group that provides end-to-end supply chain solutions, including software, automation, and system integration. They cater to businesses of all sizes and strategies, offering solutions for manufacturing logistics, warehouse automation, and parcel & postal automation. Their offerings include palletizing and conveying solutions, autonomous mobile robots (AMR), automated storage and retrieval systems (AS/RS), picking and order fulfillment systems, and parcel sorting solutions. Körber also provides software solutions such as SAP consulting and implementation, warehouse control systems (WCS), and digital solutions for parcel logistics. They emphasize data-driven decision-making, automation technology, AI integration, and sustainable solutions. Körber's services include system integration, modernization, product support, spare parts logistics, and smart maintenance. They aim to help companies manage change, optimize operational capacity, and scale to demand, with a focus on efficiency, sustainability, and end-to-end integration.",Supply Chain Solutions,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen, das ebenfalls Unternehmen in den Bereichen Logistik, Transport und Supply Chain Management anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Gemeinsame Branche: Supply Chain Management Lösungen.; Ähnliche Produkte/Services: Digitale Logistiklösungen, Software zur Optimierung und Automatisierung von Logistikprozessen.; Fokus auf Effizienzsteigerung und datengestützte Entscheidungsfindung in der Logistik.",NxtLog,"Industry: Digital Solutions for Logistics and Transport; Logistics Software; Supply Chain Management Solutions; Services/Products: Digital logistics solutions (software for optimization and automation of logistics processes); Supply chain management (enhancing transparency and control via intelligent tracking and monitoring systems); Real-time data analysis (for improving efficiency and decision-making in logistics); AI-supported optimization (for logistics planning, supply chain analysis, and route optimization); Individual analysis and consulting for digital transformation of logistics processes; Optimization of warehouse and shipping logistics.; Target Audience: Companies in the logistics, transport, and supply chain management sectors seeking to digitize and make their processes more efficient; Logistics service providers needing fully automated solutions for planning, tracking, and analyzing their supply chains; Companies aiming to optimize their shipping logistics and warehousing through smart software solutions.; Business Model: Software development; Consulting; Service-oriented (custom solutions and implementation); Product-driven (software solutions).; Company Size: …; Innovation Level: Innovative digital solutions; Modern technology; Real-time data; AI-supported optimization; Artificial intelligence; Digital transformation; Smart software solutions; Latest developments in digital logistics.",5.0,20,,True,True,Appears Large / >=500 potential,Software; Automation; System Integration; Palletizing and conveying solutions; Autonomous mobile robots (AMR); Automated storage and retrieval systems (AS/RS); Picking and order fulfillment systems; Parcel sorting solutions; SAP consulting and implementation; Warehouse control systems (WCS); Digital solutions for parcel logistics,End-to-end supply chain solutions; Data-driven decision-making; AI integration; Sustainable solutions; Focus on efficiency and sustainability,Businesses of all sizes,Technology group providing end-to-end supply chain solutions,Large Enterprise,"They emphasize data-driven decision-making, automation technology, AI integration, and sustainable solutions.",The business model and offerings are clearly articulated. The target audience is broad (businesses of all sizes).
DMSFACTORY GmbH,+496074865460,https://dmsfactory.com,"DMSFACTORY GmbH is a German company specializing in solutions for the paperless office, focusing on digitizing document, data, and information-driven processes. They offer a range of solutions including email archiving, automated document creation, email management, automated incoming mail processing, enterprise content management (ECM), and digital files. Their solutions cater to various industries such as banking, finance, construction, real estate, life science, manufacturing, project management, legal, transport, logistics, public administration, utilities, and sales. DMSFACTORY provides its own products like ContentServer, DocumentsPipeliner, EmailStore, SmartCapturing, and SmartDocs, as well as partner products including ABBYY, FAST LTA, Hyland & Saperion, Kofax, and M-Files. They offer a toolbox for M-Files with extensions like Aino AktenView, ContextView, E-RechnungsSuite, FlatFileExporter, Hubshare, KI-Suite, Ment Previewer, RetentionScheduler, SendByMail, Umlaufmappe, and VertretungsManager. DMSFACTORY also provides integrations for M-Files with DATEV, Microsoft Teams, Salesforce, and SharePoint. Their services include consulting, customization, development, licensing, migration, training, maintenance, and support. They offer the DMSFACTORY Toolbox to help customers build their perfect M-Files system. The company's mission is to help clients leverage the benefits of digitalization and technical progress to work more flexibly, efficiently, and securely, ensuring the right information is always available for decision-making. They emphasize a holistic system approach, particularly with M-Files ECM, to create a single source of truth for company-wide information management. They also offer an E-RechnungsSuite for processing electronic invoices and utilize AI-powered ECM systems like M-Files for document management.",Document Management Solutions,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Dokumentenmanagement-Software, das eine Plattform für digitale Dokumentenorganisation und -verwaltung anbietet. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Gemeinsame Branche: Dokumentenmanagement-Software.; Ähnliche Produkte/Services: Intelligente Dokumentenverwaltung und automatische Sortierung von Dokumenten.; Fokus auf die Digitalisierung und Organisation von Dokumenten in Unternehmen.,Uberblick.io,"Industry: Document Management Software; SaaS (Software as a Service); Services/Products: Innovative platform for digital document organization and management; Intelligent document management; Automatic sorting & tagging (AI-supported); Secure cloud solution (GDPR-compliant); Integration with existing systems (e.g., Microsoft 365, Google Drive, ERP systems); Fast search function.; Target Audience: Companies (general); Business Model: SaaS (implied by ""platform"" and ""cloud solution""); Company Size: Unknown/Not Specified; Innovation Level: Innovative platform; Smart document management; Use of Artificial Intelligence (AI) for assignment and search.",3.0,25,,True,True,Appears Large / >=500 potential,Email archiving; Automated document creation; Email management; Automated incoming mail processing; Enterprise content management (ECM); Digital files; Consulting; Customization; Development; Licensing; Migration; Training; Maintenance; Support,"Solutions for the paperless office; Digitizing document, data, and information-driven processes; Holistic system approach with M-Files ECM; AI-powered ECM systems",Banking; Finance; Construction; Real estate; Life science; Manufacturing; Project management; Legal; Transport; Logistics; Public administration; Utilities; Sales,Solutions and services for document management and digitalization,Unknown/Not Specified,They also offer an E-RechnungsSuite for processing electronic invoices and utilize AI-powered ECM systems like M-Files for document management.,The business model and services are clearly articulated. The target audience is broad.
Apleona,+496102453400,https://apleona.com,"Apleona is a leading European provider of real estate and facility management services, operating in over 30 countries in the EMEA region. They offer integrated, technical, and infrastructural facility management, real estate management, building technology, and interior design services. Apleona caters to users, owners, and investors, providing services that ensure sustainable value development of properties, smooth operations, and high quality of stay in buildings. They focus on helping clients optimize ESG, workplace, and portfolio strategies through partnerships, innovative products, and digital solutions. Apleona emphasizes digitalization, sustainability, and efficiency, utilizing technologies like AI, data analytics, and IoT for services such as predictive maintenance, energy optimization, and decarbonization. They offer consulting and execution services to improve the sustainability performance of existing properties, combining traditional FM services with data-driven and AI-based solutions. Apleona is committed to reducing CO2 emissions, aligning with the Science Based Targets initiative (SBTi), and promoting diversity and inclusion within the company. The company aims to be a reliable partner for clients seeking to transform their properties into sustainable management models, creating added value for the environment and society, with a goal of achieving a nearly CO2-neutral property portfolio in Europe by 2050. Apleona serves a broad range of industries and offers services modularly, in packages, or as integrated solutions, always tailored to the client's needs with a high degree of in-house service provision.",Real Estate and Facility Management,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Industriesektor spezialisiert und Lösungen für Wartung und Anlagenmanagement anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Fokus auf digitale Transformation und IT-Lösungen für Industrieunternehmen.; Dienstleistungen im Bereich Wartung und Anlagenmanagement, die für Facility Management relevant sind.; Einsatz von Technologien wie Augmented Reality und Predictive Maintenance.",RODIAS GmbH,"Industry: IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management); Services/Products: Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.; Target Audience: Industrial companies with complex technical plants requiring maintenance and asset management solutions.; Business Model: IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).; Company Size: SME (General) / Medium; Innovation Level: Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.",8.0,19,,True,True,Appears Large / >=500 potential,Integrated facility management; Technical facility management; Infrastructural facility management; Real estate management; Building technology; Interior design services; Consulting for ESG optimization; Energy optimization; Decarbonization services,"Integrated and tailored solutions; Focus on sustainability and efficiency; Use of AI, data analytics, and IoT; Commitment to reducing CO2 emissions",Users; Owners; Investors,Service-oriented; Integrated facility and real estate management solutions,Large Enterprise,"They focus on helping clients optimize ESG, workplace, and portfolio strategies through partnerships, innovative products, and digital solutions. Apleona emphasizes digitalization, sustainability, and efficiency, utilizing technologies like AI, data analytics, and IoT",The business model and target audience are clearly articulated in the summary.
Oracle,+496103397003,https://oracle.com,,,,Failed at Scraping: HTTPError_403,,,,,,,,,,,,,,,
KNAPP AG,+496104406880,https://knapp.com,"KNAPP is an international company that develops and manufactures intelligent warehouse systems, utilizing digitalization, software, automation, and robotics. Founded in Graz, Austria, in 1952, it has grown to a group of 8,300 employees across 49 locations worldwide. KNAPP offers comprehensive solutions for warehouse automation, including automatic storage systems, automated picking systems, autonomous mobile robots, conveying, sorting, and handling technologies, and digital solutions and software like KiSoft-connect. They serve various sectors, including healthcare, fashion, retail, food retail, industry, and wholesale. KNAPP emphasizes a positive corporate culture, valuing diversity and innovation, and is committed to social responsibility and sustainability, as demonstrated by their involvement in charitable initiatives and investments in electromobility. The company holds certifications in quality management (ISO 9001), occupational health and safety (ISO 45001), information security management (ISO 27001), and environmental management (ISO 14001). KNAPP also provides customer service, offering support across the entire service value chain, including reactive, preventive, and predictive services, with a global training center to train specialists on their systems. Their service portfolio includes solutions like KiSoft Analytics and KiSoft CMMS to optimize logistics systems.",Warehouse Automation,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnik, das ebenfalls die Lebensmittel-, Pharma- und Logistikbranche bedient. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Ähnliche Produkte/Services: Beide Unternehmen bieten Automatisierungslösungen für Lager und Produktion.; Überschneidende Marktsegmente: Beide bedienen die Lebensmittel-, Pharma- und Logistikbranche.; Gemeinsame technologische Ausrichtung: Fokus auf Robotik und Fördertechnik.",project Service & Produktion GmbH,"Industry: Automation Technology; Packaging Technology; Warehouse Logistics; Services/Products: Packaging and palletizing machines (e.g., PROPAC packing robot, PROPAL palletizer); Conveyor technology (for pallets and piece goods); Labeling solutions (e.g., PROLABEL R150 label applicator); Cobots and mobile robots (collaborative robots, automated guided vehicles); Support services (inspections, maintenance, training, 24-hour service hotline).; Target Audience: Large enterprises; Food & Beverage industry (e.g., Coca-Cola, Nestlé); Pharmaceutical & Chemical industry (e.g., Bayer AG); Packaging & Logistics sector; Wood industry; Steel industry; Construction industry; Glass industry; Paper industry; Hygiene industry.; Business Model: Product-driven (sale of machinery and systems); Service-oriented (inspections, maintenance, training, support); Project-based (customized solutions).; Company Size: …; Innovation Level: Production automation; Robotics (Packroboter, Palettierer, Cobots, mobile robots/automated guided vehicles); Ecologically sustainable processes; Human-machine collaboration.",6.0,27,,True,True,Appears Large / >=500 potential,"Automatic storage systems; Automated picking systems; Autonomous mobile robots; Conveying, sorting, and handling technologies; Digital solutions and software like KiSoft-connect; KiSoft Analytics; KiSoft CMMS",Comprehensive solutions for warehouse automation; Global presence with 49 locations; Commitment to social responsibility and sustainability; Customer service across the entire service value chain,Healthcare; Fashion; Retail; Food retail; Industry; Wholesale,Development and manufacturing of warehouse systems with service offerings,Large Enterprise,"Utilizing digitalization, software, automation, and robotics.",The business model and target sectors are clearly communicated in the summary.
DENSO Robotics,+4961052735150,https://densorobotics-europe.com,"DENSO Robotics, a part of DENSO Corporation, is a market leader in small industrial robots, offering a range of automation solutions. With over 50 years of experience and more than 140,000 robots installed worldwide, including over 21,500 in their own production facilities, DENSO Robotics has extensive knowledge in the field. Their product portfolio includes 4-axis (SCARA), 5- and 6-axis robots, collaborative robots, and small gantry type robots, designed for applications such as assembling, processing, pick & place, inspection, machine tending, and screwing. These robots are known for their speed, precision, quality, and ability to function in various environments, including dusty, damp, and clinical settings. DENSO robots can handle weights up to 60 kg and come with a two-year warranty. The company also offers a unified controller type RC8A for all robot models. DENSO Robotics provides customer support services, technical support, robot repair, spare parts delivery, and training. They serve industries including automotive, electronics, food, and pharmaceutical/medical. DENSO Robotics is also involved in developing solutions for logistics and IoT tasks. DENSO Robotics Europe, headquartered in Germany, provides sales and support services through regional offices and a global network of representatives and partners.",Robotics,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnik, das Verpackungs- und Palettieranlagen für die Lebensmittel-, Pharma- und Logistikindustrie herstellt. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Ähnliche Produkte/Services: Beide Unternehmen bieten Robotiklösungen an, einschließlich Verpackungs- und Palettierungsroboter.; Gemeinsame Zielgruppe: Beide bedienen die Lebensmittel-, Pharma- und Logistikindustrie.; Automatisierungslösungen: Beide konzentrieren sich auf Automatisierungstechnologien für Produktionsprozesse.",project Service & Produktion GmbH,"Industry: Automation Technology; Packaging Technology; Warehouse Logistics; Services/Products: Packaging and palletizing machines (e.g., PROPAC packing robot, PROPAL palletizer); Conveyor technology (for pallets and piece goods); Labeling solutions (e.g., PROLABEL R150 label applicator); Cobots and mobile robots (collaborative robots, automated guided vehicles); Support services (inspections, maintenance, training, 24-hour service hotline).; Target Audience: Large enterprises; Food & Beverage industry (e.g., Coca-Cola, Nestlé); Pharmaceutical & Chemical industry (e.g., Bayer AG); Packaging & Logistics sector; Wood industry; Steel industry; Construction industry; Glass industry; Paper industry; Hygiene industry.; Business Model: Product-driven (sale of machinery and systems); Service-oriented (inspections, maintenance, training, support); Project-based (customized solutions).; Company Size: …; Innovation Level: Production automation; Robotics (Packroboter, Palettierer, Cobots, mobile robots/automated guided vehicles); Ecologically sustainable processes; Human-machine collaboration.",6.0,27,,True,True,Appears Large / >=500 potential,4-axis (SCARA) robots; 5- and 6-axis robots; Collaborative robots; Small gantry type robots; Unified controller type RC8A; Customer support services; Technical support; Robot repair; Spare parts delivery; Training,Speed; Precision; Quality; Ability to function in various environments; Two-year warranty,Automotive; Electronics; Food; Pharmaceutical/Medical; Logistics,Sales and support of industrial robots and related services,Large Enterprise,DENSO Robotics is also involved in developing solutions for logistics and IoT tasks.,The business model and target industries are clearly communicated.
