Company Name	Number	URL	is_b2b	serves_1000	sales_pitch	matched_golden_partner	match_reasoning	Industry	Avg Leads Per Day	Rank
Sparkasse Ingolstadt Eichstätt	'+49 84 13044020	http://www.spk-in-ei.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich eSignatur-Software, das sich an KMUs richtet, die DATEV nutzen. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	tegoly	Zielgruppe: KMUs (Kleine und Mittelständische Unternehmen); Produkte/Services: Digitale Signaturlösungen, die für Finanzdienstleistungen relevant sein könnten; Integration mit DATEV, was für Finanzdienstleister relevant ist	Financial Services	8.0	12.0
Absolut PersonalManagement	'+49 89 2737280	http://www.absolut-personal.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Personalvermittlung im Gesundheitswesen, das ebenfalls Unternehmen anspricht, die qualifizierte Fachkräfte suchen. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MEDWING GmbH	Gemeinsame Branche: Personalwesen / Personalvermittlung; MEDWING ist eine digitale Rekrutierungsplattform für Fachkräfte im Gesundheitswesen, während Absolut Personal allgemeine Personaldienstleistungen anbietet.; Beide Unternehmen richten sich an Unternehmen, die Personal suchen.	Personnel Services	5.0	24.0
MICE DESK by eOrbit GmbH	'+49 341 23821099	http://www.micedesk.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare IT, das digitale Menübestellsysteme für Kliniken anbietet und sich an moderne Kliniken richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	HospiChef UG (haftungsbeschränkt)	Gemeinsame Zielgruppe: Hotels und der MICE-Sektor (Meetings, Incentives, Konferenzen und Ausstellungen).; Ähnliche Produkte/Services: Digitalisierung von Prozessen im Gastgewerbe, insbesondere im Bereich der Bestell- und Auftragsabwicklung.; Fokus auf die Effizienzsteigerung und Automatisierung von Abläufen in Hotels und Kliniken.	Hospitality Technology	5.0	23.0
Mauve Mailorder Software GmbH & Co KG.	'+49 201 85787744	http://www.mauve.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Pharmazeutische Verpackungstechnologie, das ebenfalls Apotheken anspricht. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	go.ecoblister GmbH	Gemeinsame Zielgruppe: Apotheken.; Relevante Produkte/Services: Pharmazeutische Verpackungstechnologie und nachhaltige Medikamentenverpackungen.; Überschneidung im Bereich der Versorgung von Apotheken mit spezialisierten Lösungen.	Pharmacy Software Solutions	10.0	1.0
Lern-Fair	'+49 89 74004584	http://www.lern-fair.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Bildung für den Gesundheits- und Sozialbereich, das sich an Krankenhäuser, Pflegeheime und soziale Einrichtungen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Ausrichtung auf den Bildungssektor.; Überschneidung im Bereich der digitalen Lernplattformen und Lernressourcen.; Potenzielle Synergien bei der Bereitstellung von Bildungsangeboten für benachteiligte Gruppen.	Non-profit Education	8.0	6.0
Evangelische Altenhilfe Gesundbrunnen gGmbH	'+49 551 506750	http://www.gesundbrunnen.org	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare-Technologie, das interaktive Aktivitätstische mit Software für die Betreuung von Senioren in Pflegeeinrichtungen anbietet. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	De BeleefTV	Gemeinsame Zielgruppe: Pflegebedürftige Senioren und deren Angehörige.; Fokus auf die Betreuung und Unterstützung von Senioren in Pflegeeinrichtungen.; Ähnliche Zielsetzung: Förderung der Lebensqualität und des Wohlbefindens von Senioren.	Elder Care	10.0	5.0
IDG Institut für digitale Gesundheitsdaten RLP	'+49 613 19717590	http://www.idg-rlp.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare Technology, das AI-basierte Frühwarnsysteme für Krankenhäuser und Kliniken anbietet. Für dieses Unternehmen generieren wir täglich 4 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Medlytics GmbH	Gemeinsame Industrie: Healthcare Technology und Fokus auf Datenanalyse im Gesundheitswesen.; Ähnliche Produkte/Services: AI-basierte Frühwarnsysteme für Krankenhäuser und Datenanalyse zur Verbesserung der Patientenversorgung.; Gemeinsame Zielgruppe: Krankenhäuser und Kliniken.	Healthcare Data Management	4.0	31.0
Radio Hamburg GmbH & Co. KG	'+49 40 3397140	http://www.radiohamburg.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien und digitale Marketing-Services, das sich an kleine und mittelständische Unternehmen (KMU) richtet. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Schlütersche Verlagsgesellschaft mbH & Co. KG	Beide Unternehmen sind im Medienbereich tätig.; Schlütersche bietet Online-Marketing-Dienstleistungen für KMUs an, was eine potenzielle Synergie mit Radio Hamburgs Werbeumsätzen darstellt.; Gemeinsame Zielgruppe: Unternehmen, die ihre lokale Präsenz stärken wollen.	Radio Broadcasting	1.0	41.0
SCHERER Ingenieure	'+49 911 2174880	http://www.scherer-ingenieure.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Industriesektor spezialisiert hat und Lösungen für die Wartung und das Asset Management komplexer Anlagen anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Gemeinsame Ausrichtung auf IT-Dienstleistungen und Engineering.; Fokus auf digitale Transformation und IT-Lösungen für Industrieunternehmen.; Expertise in der Wartung und im Asset Management komplexer technischer Anlagen.	Engineering and IT Services	8.0	19.0
Schnöring GmbH	4974225110.0	http://www.schnoering.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation für Industrieunternehmen spezialisiert hat, die komplexe technische Anlagen warten und verwalten müssen. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Überschneidung im Bereich der Industrie: RODIAS GmbH bietet IT-Lösungen für die Instandhaltung komplexer technischer Anlagen.; Ähnliche Zielgruppe: Beide Unternehmen richten sich an Industrieunternehmen.; RODIAS GmbH bietet Lösungen für die digitale Transformation, was mit dem Innovationsanspruch von Schnöring übereinstimmt.	Manufacturing	8.0	19.0
Stadt Burghausen	4986778870.0	http://www.burghausen.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Services, das sich auf die Implementierung von IT-Systemen für Seniorenresidenzen und Pflegeeinrichtungen spezialisiert hat, insbesondere im Bereich Schwesternrufsysteme. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	visitronic GmbH	Dienstleistungen im Bereich IT-Services und Systemadministration.; Zielgruppe: Seniorenresidenzen und Pflegeeinrichtungen (für Schwesternrufsysteme).; Implementierung und technische Systemrealisierung von Produkten in IT-Systemen.	Municipal Government	3.0	29.0
reflecta gmbh	'+49 7457 946560	http://www.reflecta.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich nachhaltige Technologieprodukte, das wiederverwendbare Visitenkarten mit NFC-Technologie und QR-Codes anbietet und sich an Unternehmen und Fachleute richtet, die Wert auf moderne Technologien legen. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Tap to Tie	Ähnliche Produkte: Bietet Produkte im Bereich Foto- und Videobedarf an, insbesondere im Hinblick auf die Digitalisierung.; Gemeinsame Zielgruppe: Ansprache von Unternehmen und Fachleuten, die Wert auf moderne Technologien legen.; Innovative Produkte: Beide Unternehmen bieten innovative Produkte an, die auf moderne Technologien setzen (NFC, QR-Codes).	Photo and Video Equipment	2.0	44.0
900GRAD Steuerberatung	'+49 43 138575740	http://www.900grad.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software as a Service für Steuerberater, das eine Plattform zur Digitalisierung des Dokumentenaustauschs zwischen Steuerberatern und Mandanten anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	DIGI-BEL	Direkte Zielgruppe: Steuerberater und deren Mandanten.; Fokus auf Digitalisierung von Dokumenten und Kommunikation im Steuerbereich.; Spezialisierte Plattform für den Austausch zwischen Steuerberatern und Mandanten.	Tax Consultancy	5.0	46.0
Herder Institute for Historical Research on East Central Europe	'+49 642 1184101	http://www.herder-institut.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien und Verlagswesen, das sich auf die Bereitstellung von Fachinformationen für kleine und mittelständische Unternehmen (KMU) spezialisiert hat, die im Bildungssektor tätig sind. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Schlütersche Verlagsgesellschaft mbH & Co. KG	Gemeinsame Zielgruppe: Fokus auf Forschung und Bildung (implizit durch Zielgruppe der KMUs, die oft Bildungs- und Forschungsbedarf haben).; Teilweise Überschneidung: Bereitstellung von Fachzeitschriften und Online-Medien, die für Forscher und Akademiker relevant sein könnten.; Mögliche Synergien: Online-Marketing-Dienstleistungen könnten für die Verbreitung von Forschungsergebnissen und die Steigerung der Sichtbarkeit des Herder-Instituts genutzt werden.	Research Institution	1.0	41.0
Fides	'+49 89 12085471	http://www.fides.technology	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Legal Tech Software für Notare, das sich an Notariate in Deutschland richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Notara	Gemeinsame Ausrichtung auf den Legal Tech Bereich.; Ähnliche Produkte/Services: Digitale Lösungen zur Automatisierung von Prozessen.; Zielgruppe: Fokus auf rechtliche Berufe (Notare vs. Unternehmen mit Rechtsabteilungen).	Corporate Governance Software	5.0	3.0
VBB Rechtsanwälte	'+49 211 367770	http://www.wirtschaftsstrafrecht.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf Legal Tech Services spezialisiert hat und unter anderem Anwaltskanzleien bei der Prozessoptimierung unterstützt. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Digitalagentur1	Spezialisierung auf Dienstleistungen für Anwaltskanzleien (Legal Tech Services).; Angebot von Prozessoptimierung und Automatisierung, relevant für effizientes Mandantenmanagement.; Digitale Workflows zur Verbesserung der Klientenkommunikation.	Law Firm (White-Collar Crime)	3.0	26.0
LEINER | part of Gibus	'+49 8294 2920	http://www.leiner.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Holzgroßhandel und Baumaterialien, das ebenfalls B2B-Kunden aus Handwerk, Industrie und Handel anspricht. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Carl Götz GmbH	Gemeinsame Zielgruppe: B2B-Kunden im Bereich Handwerk und Industrie.; Ähnliche Produkte/Services: Produkte für den Außenbereich und Garten, insbesondere Terrassen.; Überschneidung im Bereich der Bau- und Wohnmaterialien.	Sun and Rain Protection Systems	10.0	17.0
DIE PAPIERINDUSTRIE e. V.	4930921006090.0	http://www.papierindustrie.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnik, das ebenfalls die Papierindustrie bedient. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	project Service & Produktion GmbH	Überschneidung in der Zielgruppe: Papierindustrie; Automatisierungstechnologie könnte für die Papierindustrie relevant sein	Paper Industry Association	6.0	27.0
PBL Milk GmbH	'+49 22 1775400	http://www.milkdesign.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf Webentwicklung, Online Marketing und SEO spezialisiert hat und sowohl allgemeine Unternehmen als auch Kanzleien anspricht. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Digitalagentur1	Ähnliche Dienstleistungen: Webentwicklung, Online Marketing und SEO.; Beide Unternehmen bieten Dienstleistungen im Bereich der digitalen Strategie und Umsetzung an.; Digitalagentur1 bietet auch Automatisierungslösungen an, was für Branding-Kampagnen relevant sein könnte.	Branding Agency	3.0	26.0
Topfit GmbH	'+49 941 6464470	http://www.topfit.website	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Weiterbildung, das sich an Unternehmen und deren Mitarbeiter im Gesundheits- und Sozialwesen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Zielgruppe: Unternehmen und deren Mitarbeiter.; Ähnliche Produkte/Services: Digitale Lernplattformen und E-Learning-Lösungen für Unternehmen.; Fokus auf digitale Lösungen für Personalentwicklung und Weiterbildung.	Corporate Health Management	8.0	6.0
HFBP Rechtsanwälte und Notar	'+49 8009 488350	http://www.hfbp.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Legal Tech Software für Notare, das sich ebenfalls an Notariate richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Notara	Ähnliche Zielgruppe: Notare (Notary Services).; Potenzielle Synergieeffekte durch Digitalisierung von Prozessen im Rechtsbereich.	Law Firm & Notary Office	5.0	3.0
Fischer & Reimann Steuerberatungsgesellschaft mbH	'+49 621 68560970	http://www.kanzlei-pfalz.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software (SaaS) für Steuerberaterkanzleien, das eine Plattform zur Digitalisierung des Dokumentenaustauschs anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	DIGI-BEL	Direkte Zielgruppe: Steuerberaterkanzleien.; Fokus auf Digitalisierung des Dokumentenaustauschs.; Plattform zur Vereinfachung der Kommunikation zwischen Steuerberatern und Mandanten.	Tax Advisory	5.0	46.0
Local Brand X GmbH	'+49 613 16357100	http://www.local-brand-x.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien und Online-Marketing, das ebenfalls kleine und mittelständische Unternehmen (KMU) anspricht. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Schlütersche Verlagsgesellschaft mbH & Co. KG	Gemeinsame Zielgruppe: Kleine und mittelständische Unternehmen (KMU).; Ähnliche Produkte/Services: Online-Marketing-Dienstleistungen wie Website-Erstellung, SEO und Social-Media-Marketing.; Beide Unternehmen bieten Dienstleistungen für Unternehmen mit dezentralen Vertriebspartnern an.	Marketing Platform	1.0	41.0
interpersonal GmbH	'+49 40 48404921	http://www.interpersonal.aero	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Personalvermittlung im Gesundheitswesen, das ebenfalls Unternehmen anspricht, die qualifiziertes Personal suchen. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MEDWING GmbH	Gemeinsame Branche: Personalwesen, spezialisiert auf die Vermittlung von Fachkräften.; Ähnliche Dienstleistungen: Personalvermittlung und Rekrutierung von Fachkräften.; Gemeinsame Zielgruppe: Unternehmen, die qualifizierte Fachkräfte suchen.	Personnel Services	5.0	24.0
Verlag an der Ruhr GmbH	'+49 208 4395450	http://www.verlagruhr.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning für den Gesundheits- und Sozialbereich, das sich ebenfalls an Bildungseinrichtungen und Fachkräfte im Bildungsbereich richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Branche: Bildung und digitale Lernmaterialien.; Ähnliche Produkte/Services: Digitale Lernplattformen und E-Learning-Lösungen.; Zielgruppe: Überschneidung im Bildungsbereich, insbesondere im Hinblick auf digitale Materialien für Lehrer und Erzieher.	Educational Publishing	8.0	6.0
Benedictus Krankenhaus Tutzing	'+49 8158 230	http://www.krankenhaus-tutzing.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare-Technologie, das KI-gestützte Frühwarnsysteme für Krankenhäuser und Kliniken anbietet. Für dieses Unternehmen generieren wir täglich 4 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Medlytics GmbH	Gemeinsame Zielgruppe: Krankenhäuser und Kliniken.; Ähnliche Ausrichtung auf Technologie im Gesundheitswesen.; Medlytics bietet KI-gestützte Frühwarnsysteme für Krankenhäuser, was gut zu den Dienstleistungen eines Krankenhauses passt.	Hospital / Healthcare	4.0	31.0
Verein für Innere Mission in Bremen	'+49 421 349670	http://www.inneremission-bremen.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Weiterbildung, das sich auf soziale Einrichtungen und den gesamten Sozialbereich spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Zielgruppe im Sozialbereich (soziale Einrichtungen).; Ähnliche Dienstleistungen: Digitale Lernplattformen und E-Learning-Lösungen.; Fokus auf Weiterbildung und Kompetenzentwicklung für Mitarbeiter im sozialen Sektor.	Non-profit organization providing social services	8.0	6.0
Cellitinnen-Klinikverbund St. Petrus und St. Josef	'+49 202 4850	http://www.krankenhaus-st-josef-wuppertal.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech, das intelligente Systeme zur Überwachung von Drainagen und Kathetern für Krankenhäuser entwickelt. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Elixion Medical	Gemeinsame Zielgruppe: Krankenhäuser und Kliniken.; Branche: HealthTech und Digitalisierung von Gesundheitsprozessen.; Fokus auf innovative Technologien und Digitalisierung im Gesundheitswesen.	Hospital / Healthcare	5.0	4.0
Sparkasse Uecker-Randow	'+49 39 734340	http://www.sparkasse-uecker-randow.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich eSignatur-Software, das sich auf KMUs und DATEV-Nutzer spezialisiert hat, also beispielsweise Steuerberater und Wirtschaftsprüfer. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	tegoly	Zielgruppe: KMUs (Kleine und Mittelständische Unternehmen) sowie Privatkunden, die Finanzdienstleistungen benötigen.; Produkte/Services: eSignaturlösungen, die für Finanzdienstleistungen und Bankgeschäfte relevant sind, insbesondere im Hinblick auf digitale Prozesse.; Integration mit DATEV, was für Finanzdienstleister und deren Kunden wichtig ist, um Prozesse zu vereinfachen.	Banking	8.0	12.0
Kinderkrankenhaus St. Marien	'+49 874 19259912	http://www.kinderkrankenhaus-landshut.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare-Technologie, das interaktive Aktivitätstische für Betreuungseinrichtungen anbietet, die sich an Senioren und Menschen mit kognitiven Einschränkungen richten. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	De BeleefTV	Gemeinsame Ausrichtung: Fokus auf innovative Technologien im Gesundheitswesen zur Verbesserung der Lebensqualität.; Ähnliche Produkte/Services: Interaktive Technologien zur Aktivierung und Förderung von Patienten (Kinder und Senioren).; Überschneidung im Bereich der Patientenversorgung: Potenzial für den Einsatz interaktiver Technologien zur Unterstützung von Kindern in der Rehabilitation oder Langzeitpflege.	Pediatric Healthcare	10.0	5.0
Luisenklinik	'+49 77 2693900	http://www.luisenklinik.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare-Technologie, das interaktive Aktivitätstische für Betreuungseinrichtungen anbietet, die sich an Senioren und Menschen mit kognitiven Einschränkungen richten. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	De BeleefTV	Gemeinsame Zielgruppe: Betreuungseinrichtungen, die sich an Senioren und Personen mit Demenz oder anderen kognitiven Beeinträchtigungen richten.; Ähnliche Ausrichtung auf Therapie und Aktivierung durch Technologie.; Fokus auf die Verbesserung der Lebensqualität von Patienten durch interaktive und sensorische Aktivitäten.	Mental Health Clinic	10.0	5.0
Logistics Summit	'+49 40 999993861	http://www.logisticssummit.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digitale Logistiklösungen, das sich an Unternehmen im Logistik-, Transport- und Supply-Chain-Management-Sektor richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	NxtLog	Gemeinsame Ausrichtung auf die Logistikbranche.; Ähnliche Produkte/Services: Fokus auf digitale Lösungen zur Optimierung und Automatisierung von Logistikprozessen.; Fokus auf digitale Transformation und Effizienzsteigerung in der Logistik.	Logistics Trade Fair and Conference	5.0	20.0
CEVEC Pharmaceuticals - now part of Cytiva	'+49 221 46020800	http://www.cevec.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech und Digitalisierung von Gesundheitsprozessen, das innovative Lösungen für die Bioprozessindustrie und die Gentherapie anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Elixion Medical	Gemeinsame Branche: HealthTech und Digitalisierung von Gesundheitsprozessen.; Ähnliche technologische Ausrichtung: Fokus auf innovative Lösungen und Automatisierung.; Potenzielle Synergien: Beide Unternehmen bieten Lösungen für die Bioprozessindustrie und die Gentherapie.	Bioprocessing and Gene Therapy	5.0	4.0
MEDIAFIX GmbH	'+49 22 167786934	http://www.mediafix.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Dokumentenmanagement-Software, das eine Plattform für die digitale Organisation von Dokumenten anbietet. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Uberblick.io	Ähnliche Dienstleistungen: Digitalisierung und Organisation von Dokumenten.; Fokus auf die Organisation und Verwaltung von Informationen.; Automatisierte Sortierung und Tagging von Dokumenten (KI-Unterstützung).	Digitization Services	3.0	25.0
BP Mediawork GmbH	49308687051211.0	http://www.bpmediawork.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf Webentwicklung, SEO und Automatisierung spezialisiert hat und ebenfalls Unternehmen anspricht, die ihre Online-Präsenz verbessern möchten. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Digitalagentur1	Gemeinsame Zielgruppe: Unternehmen, die digitale Lösungen und IT-Dienstleistungen benötigen.; Ähnliche Produkte/Services: Webentwicklung, SEO und Online-Marketing.; Beide bieten Dienstleistungen im Bereich Automatisierung und Digitalisierung an.	Content Solutions and IT Services	3.0	26.0
MUNICH MODELS GmbH	'+49 89 3899830	http://www.munich-models.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich individuelle Merchandise-Produkte, das ebenfalls Marken und Unternehmen anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	DasMerch	Gemeinsame Zielgruppe: Marken und Unternehmen.; Ähnliche Dienstleistungen: Angebot von individuellen Merchandise-Produkten, die für Kampagnen und Editorials genutzt werden können.; Überschneidung im Bereich der Markenbildung und des Marketings.	Model Agency	5.0	33.0
rt1.media group GmbH	'+49 821 7774115	http://www.rt1-mediagroup.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Verlagswesen und digitale Marketingdienstleistungen, das ebenfalls kleine und mittlere Unternehmen (KMUs) in Deutschland anspricht. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Schlütersche Verlagsgesellschaft mbH & Co. KG	Gemeinsame Branche: Medien (Verlagswesen und digitale Marketingdienstleistungen); Ähnliche Produkte/Services: Online-Marketing-Services für KMUs (Website-Erstellung, SEO, SEA, Social Media Marketing); Zielgruppe: Kleine und mittlere Unternehmen (KMUs) in Deutschland	Media	1.0	41.0
